Value,Time (hour),algorithm
112.4078,500,GTrPO
118.4668,500,GTrPO
110.1268,500,GTrPO
117.9491,500,GTrPO
122.6871,500,GTrPO
112.0109,500,GTrPO
113.0862,500,GTrPO
,,
115.459,500,SAC
101.5438,500,SAC
108.842,500,SAC
113.8217,500,SAC
105.5987,500,SAC
117.5508,500,SAC
113.7823,500,SAC
107.692,500,SAC
100.568,500,SAC
115.2196,500,SAC
102.0139,500,SAC
106.2579,500,SAC
113.3336,500,SAC
105.3846,500,SAC
108.0875,500,SAC
112.2876,500,SAC
97.6155,500,SAC
107.445,500,SAC
110.5436,500,SAC
117.782,500,SAC
,,
86.9771,500,DuelingDQN
82.7825,500,DuelingDQN
83.1424,500,DuelingDQN
73.5878,500,DuelingDQN
88.7081,500,DuelingDQN
83.2917,500,DuelingDQN
85.2396,500,DuelingDQN
90.3653,500,DuelingDQN
84.6323,500,DuelingDQN
91.6922,500,DuelingDQN
84.1078,500,DuelingDQN
83.5747,500,DuelingDQN
81.988,500,DuelingDQN
87.8706,500,DuelingDQN
82.1306,500,DuelingDQN
82.6987,500,DuelingDQN
80.4011,500,DuelingDQN
88.7843,500,DuelingDQN
78.8816,500,DuelingDQN
86.2224,500,DuelingDQN
,,
85.3588,500,PPO
79.5408,500,PPO
72.1563,500,PPO
79.9976,500,PPO
78.3621,500,PPO
70.5889,500,PPO
79.3734,500,PPO
80.3477,500,PPO
70.0125,500,PPO
80.3054,500,PPO
83.692,500,PPO
75.0926,500,PPO
84.3129,500,PPO
84.7297,500,PPO
78.7592,500,PPO
75.3906,500,PPO
72.0888,500,PPO
82.8667,500,PPO
83.361,500,PPO
85.5863,500,PPO
,,
,,
29.319,200,DRQN
27.7368,200,DRQN
28.0671,200,DRQN
30.4778,200,DRQN
28.9126,200,DRQN
28.8421,200,DRQN
28.9367,200,DRQN
25.985,200,DRQN
31.0927,200,DRQN
29.1635,200,DRQN
29.4809,200,DRQN
31.2097,200,DRQN
31.7584,200,DRQN
30.6781,200,DRQN
33.7053,200,DRQN
29.9162,200,DRQN
37.1173,200,DRQN
26.6643,200,DRQN
28.1159,200,DRQN
28.2648,200,DRQN
,,
,,
35.1692,300,DRQN
38.704,300,DRQN
36.6111,300,DRQN
37.4171,300,DRQN
34.2133,300,DRQN
36.8177,300,DRQN
35.3919,300,DRQN
33.5005,300,DRQN
37.3354,300,DRQN
37.779,300,DRQN
36.6884,300,DRQN
42.8315,300,DRQN
33.5906,300,DRQN
40.5321,300,DRQN
37.7188,300,DRQN
34.4399,300,DRQN
40.8625,300,DRQN
32.8843,300,DRQN
39.4691,300,DRQN
34.7043,300,DRQN
,,
41.8611,400,DRQN
46.532,400,DRQN
45.0204,400,DRQN
44.6499,400,DRQN
41.8352,400,DRQN
42.1178,400,DRQN
40.6443,400,DRQN
41.6149,400,DRQN
45.4292,400,DRQN
40.8322,400,DRQN
41.2994,400,DRQN
44.0511,400,DRQN
44.9204,400,DRQN
45.0507,400,DRQN
40.0553,400,DRQN
43.3266,400,DRQN
41.2503,400,DRQN
47.0799,400,DRQN
42.2594,400,DRQN
38.6699,400,DRQN
,,
46.0054,500,DRQN
47.7705,500,DRQN
45.8631,500,DRQN
49.3966,500,DRQN
53.1609,500,DRQN
51.4331,500,DRQN
49.8958,500,DRQN
47.7351,500,DRQN
50.6597,500,DRQN
53.2303,500,DRQN
52.46,500,DRQN
51.5097,500,DRQN
52.0814,500,DRQN
46.2539,500,DRQN
51.4137,500,DRQN
50.2548,500,DRQN
54.5944,500,DRQN
44.7829,500,DRQN
47.9232,500,DRQN
53.7837,500,DRQN
,,
46.0628,200,TRPO
46.6071,200,TRPO
49.0864,200,TRPO
45.5815,200,TRPO
45.0075,200,TRPO
43.7366,200,TRPO
48.7212,200,TRPO
44.5027,200,TRPO
46.5123,200,TRPO
47.5045,200,TRPO
46.4047,200,TRPO
46.5245,200,TRPO
44.7468,200,TRPO
44.6622,200,TRPO
45.4721,200,TRPO
46.5869,200,TRPO
45.6326,200,TRPO
46.6424,200,TRPO
44.8217,200,TRPO
44.8465,200,TRPO
,,
62.6651,300,TRPO
58.4643,300,TRPO
61.7757,300,TRPO
61.2724,300,TRPO
62.7432,300,TRPO
60.7689,300,TRPO
58.8694,300,TRPO
62.9186,300,TRPO
65.2563,300,TRPO
63.1173,300,TRPO
70.3132,300,TRPO
65.7815,300,TRPO
61.9921,300,TRPO
65.2974,300,TRPO
60.5817,300,TRPO
55.4953,300,TRPO
60.8278,300,TRPO
53.8543,300,TRPO
58.3232,300,TRPO
61.7285,300,TRPO
,,
78.4713,400,TRPO
77.1861,400,TRPO
82.379,400,TRPO
79.9659,400,TRPO
74.6234,400,TRPO
75.2945,400,TRPO
73.0231,400,TRPO
75.5188,400,TRPO
70.3818,400,TRPO
83.1349,400,TRPO
72.8906,400,TRPO
71.2336,400,TRPO
76.4357,400,TRPO
86.7038,400,TRPO
71.8298,400,TRPO
71.5131,400,TRPO
71.8637,400,TRPO
74.3524,400,TRPO
76.5442,400,TRPO
72.2421,400,TRPO
,,
95.2504,500,TRPO
87.901,500,TRPO
86.9283,500,TRPO
89.6472,500,TRPO
90.4121,500,TRPO
85.2094,500,TRPO
96.1945,500,TRPO
99.1161,500,TRPO
88.866,500,TRPO
94.0208,500,TRPO
84.7958,500,TRPO
93.9422,500,TRPO
85.6844,500,TRPO
84.4264,500,TRPO
77.8973,500,TRPO
91.6238,500,TRPO
94.8112,500,TRPO
93.4789,500,TRPO
86.1662,500,TRPO
87.7973,500,TRPO
,,
21.0888,200,REINFORCE
21.285,200,REINFORCE
21.2045,200,REINFORCE
20.7652,200,REINFORCE
20.8986,200,REINFORCE
20.9372,200,REINFORCE
21.0251,200,REINFORCE
22.4575,200,REINFORCE
21.9339,200,REINFORCE
21.8393,200,REINFORCE
21.7361,200,REINFORCE
21.6003,200,REINFORCE
21.6765,200,REINFORCE
21.4029,200,REINFORCE
21.4484,200,REINFORCE
21.0783,200,REINFORCE
20.9919,200,REINFORCE
20.7758,200,REINFORCE
20.8975,200,REINFORCE
20.9087,200,REINFORCE
,,
23.9806,300,REINFORCE
24.394,300,REINFORCE
24.9841,300,REINFORCE
23.778,300,REINFORCE
24.3185,300,REINFORCE
25.1451,300,REINFORCE
24.0354,300,REINFORCE
24.1641,300,REINFORCE
25.0193,300,REINFORCE
23.8913,300,REINFORCE
24.3627,300,REINFORCE
24.8708,300,REINFORCE
23.6837,300,REINFORCE
24.2508,300,REINFORCE
24.7535,300,REINFORCE
23.7991,300,REINFORCE
24.3621,300,REINFORCE
25.037,300,REINFORCE
24.023,300,REINFORCE
24.2646,300,REINFORCE
,,
26.6949,400,REINFORCE
26.7193,400,REINFORCE
28.1197,400,REINFORCE
27.799,400,REINFORCE
27.6274,400,REINFORCE
27.3746,400,REINFORCE
27.0308,400,REINFORCE
27.0801,400,REINFORCE
27.0354,400,REINFORCE
26.9572,400,REINFORCE
26.486,400,REINFORCE
28.1996,400,REINFORCE
27.7392,400,REINFORCE
27.6315,400,REINFORCE
27.2433,400,REINFORCE
27.0449,400,REINFORCE
27.0464,400,REINFORCE
26.8826,400,REINFORCE
26.5975,400,REINFORCE
28.2576,400,REINFORCE
,,
33.5487,500,REINFORCE
34.2952,500,REINFORCE
33.7976,500,REINFORCE
33.3741,500,REINFORCE
33.9555,500,REINFORCE
33.4097,500,REINFORCE
34.0559,500,REINFORCE
33.9391,500,REINFORCE
