Value,Time (hour),algorithm
67.5014,200,GTrPO
67.7005,200,GTrPO
71.0876,200,GTrPO
63.7617,200,GTrPO
57.1485,200,GTrPO
69.2134,200,GTrPO
67.9626,200,GTrPO
67.1824,200,GTrPO
69.3067,200,GTrPO
66.405,200,GTrPO
68.6099,200,GTrPO
67.6684,200,GTrPO
70.3353,200,GTrPO
68.9812,200,GTrPO
66.7278,200,GTrPO
65.3916,200,GTrPO
72.4595,200,GTrPO
67.5092,200,GTrPO
67.8299,200,GTrPO
67.9832,200,GTrPO
,,
56.8539,200,SAC
55.9939,200,SAC
62.5874,200,SAC
64.9489,200,SAC
61.8328,200,SAC
63.8093,200,SAC
60.135,200,SAC
58.1876,200,SAC
62.8241,200,SAC
60.9168,200,SAC
64.6954,200,SAC
57.7027,200,SAC
63.7454,200,SAC
63.9023,200,SAC
58.6766,200,SAC
66.2716,200,SAC
62.1882,200,SAC
62.5173,200,SAC
62.66,200,SAC
61.7187,200,SAC
,,
43.1813,200,DuelingDQN
43.7887,200,DuelingDQN
40.7768,200,DuelingDQN
41.1726,200,DuelingDQN
41.0663,200,DuelingDQN
42.3962,200,DuelingDQN
39.3684,200,DuelingDQN
43.5717,200,DuelingDQN
41.9401,200,DuelingDQN
43.4496,200,DuelingDQN
41.4942,200,DuelingDQN
40.2381,200,DuelingDQN
37.1333,200,DuelingDQN
39.3754,200,DuelingDQN
38.3712,200,DuelingDQN
40.7363,200,DuelingDQN
41.7119,200,DuelingDQN
40.929,200,DuelingDQN
38.1998,200,DuelingDQN
40.0736,200,DuelingDQN
,,
48.4259,200,PPO
48.7418,200,PPO
48.2416,200,PPO
50.1995,200,PPO
48.8368,200,PPO
46.9399,200,PPO
45.2226,200,PPO
46.7449,200,PPO
46.9902,200,PPO
49.55,200,PPO
49.661,200,PPO
47.9153,200,PPO
44.4496,200,PPO
41.5269,200,PPO
49.6643,200,PPO
47.1382,200,PPO
45.8631,200,PPO
47.3585,200,PPO
47.7979,200,PPO
43.4925,200,PPO
,,
86.5293,300,GTrPO
87.4549,300,GTrPO
90.0526,300,GTrPO
82.366,300,GTrPO
84.5319,300,GTrPO
88.4882,300,GTrPO
86.6027,300,GTrPO
89.3011,300,GTrPO
89.7141,300,GTrPO
85.817,300,GTrPO
86.1681,300,GTrPO
90.3575,300,GTrPO
87.0589,300,GTrPO
86.9609,300,GTrPO
89.9538,300,GTrPO
86.9766,300,GTrPO
89.9683,300,GTrPO
88.3293,300,GTrPO
89.232,300,GTrPO
90.4314,300,GTrPO
,,
64.4779,300,SAC
82.7007,300,SAC
77.0021,300,SAC
78.1262,300,SAC
76.2265,300,SAC
80.9595,300,SAC
79.2794,300,SAC
82.1076,300,SAC
83.4081,300,SAC
82.2783,300,SAC
73.556,300,SAC
80.5147,300,SAC
88.3749,300,SAC
82.159,300,SAC
86.9468,300,SAC
78.4007,300,SAC
81.2514,300,SAC
90.3694,300,SAC
76.575,300,SAC
73.9022,300,SAC
,,
54.1729,300,DuelingDQN
51.129,300,DuelingDQN
48.9172,300,DuelingDQN
48.6972,300,DuelingDQN
51.8979,300,DuelingDQN
48.5878,300,DuelingDQN
49.4225,300,DuelingDQN
47.8674,300,DuelingDQN
48.8587,300,DuelingDQN
55.2874,300,DuelingDQN
48.5754,300,DuelingDQN
53.9543,300,DuelingDQN
50.6796,300,DuelingDQN
52.8611,300,DuelingDQN
50.5633,300,DuelingDQN
50.1084,300,DuelingDQN
52.1418,300,DuelingDQN
55.4972,300,DuelingDQN
52.7382,300,DuelingDQN
47.6515,300,DuelingDQN
,,
63.739,300,PPO
60.4907,300,PPO
59.626,300,PPO
60.7601,300,PPO
60.8531,300,PPO
60.2477,300,PPO
64.5967,300,PPO
61.5472,300,PPO
62.8839,300,PPO
63.7216,300,PPO
58.7213,300,PPO
60.0971,300,PPO
58.5926,300,PPO
63.0288,300,PPO
60.1567,300,PPO
63.118,300,PPO
59.0716,300,PPO
58.0002,300,PPO
61.8154,300,PPO
59.2025,300,PPO
,,
106.4317,400,GTrPO
107.2489,400,GTrPO
99.9156,400,GTrPO
105.0809,400,GTrPO
112.3041,400,GTrPO
112.1523,400,GTrPO
107.769,400,GTrPO
103.0306,400,GTrPO
105.4459,400,GTrPO
107.8083,400,GTrPO
98.531,400,GTrPO
108.2652,400,GTrPO
102.5422,400,GTrPO
102.9078,400,GTrPO
108.1382,400,GTrPO
115.197,400,GTrPO
109.9136,400,GTrPO
106.3355,400,GTrPO
105.9072,400,GTrPO
101.5388,400,GTrPO
,,
83.5499,400,SAC
91.6191,400,SAC
100.6554,400,SAC
97.0178,400,SAC
95.703,400,SAC
101.4349,400,SAC
91.3795,400,SAC
104.3586,400,SAC
98.9639,400,SAC
108.2059,400,SAC
106.8978,400,SAC
104.2181,400,SAC
102.9984,400,SAC
100.4539,400,SAC
97.4674,400,SAC
97.6603,400,SAC
100.3206,400,SAC
103.8254,400,SAC
97.8394,400,SAC
104.0277,400,SAC
,,
65.2436,400,DuelingDQN
58.3119,400,DuelingDQN
54.3015,400,DuelingDQN
57.6328,400,DuelingDQN
59.3742,400,DuelingDQN
59.9482,400,DuelingDQN
60.7452,400,DuelingDQN
60.9592,400,DuelingDQN
58.7213,400,DuelingDQN
58.6511,400,DuelingDQN
57.3598,400,DuelingDQN
62.4192,400,DuelingDQN
58.1494,400,DuelingDQN
58.8867,400,DuelingDQN
61.7738,400,DuelingDQN
54.6651,400,DuelingDQN
62.506,400,DuelingDQN
61.3794,400,DuelingDQN
55.7104,400,DuelingDQN
57.3838,400,DuelingDQN
