Value,Time (hour),algorithm
61.6104,500,GrTPO
62.3845,500,GrTPO
64.2897,500,GrTPO
59.5584,500,GrTPO
62.0212,500,GrTPO
59.1939,500,GrTPO
54.6528,500,GrTPO
67.2808,500,GrTPO
59.6448,500,GrTPO
65.6673,500,GrTPO
65.7832,500,GrTPO
62.7501,500,GrTPO
61.8522,500,GrTPO
57.0473,500,GrTPO
62.661,500,GrTPO
64.1326,500,GrTPO
64.3266,500,GrTPO
62.2467,500,GrTPO
57.8435,500,GrTPO
65.7386,500,GrTPO
,,
51.6659,400,GrTPO
52.5229,400,GrTPO
49.8406,400,GrTPO
52.9081,400,GrTPO
56.489,400,GrTPO
52.6794,400,GrTPO
50.7886,400,GrTPO
52.7027,400,GrTPO
55.5333,400,GrTPO
53.4627,400,GrTPO
53.4266,400,GrTPO
57.8039,400,GrTPO
56.7946,400,GrTPO
55.6869,400,GrTPO
56.4843,400,GrTPO
52.9214,400,GrTPO
52.0248,400,GrTPO
55.5012,400,GrTPO
52.93,400,GrTPO
48.007,400,GrTPO
,,
44.6145,300,GrTPO
45.5202,300,GrTPO
46.47,300,GrTPO
46.3071,300,GrTPO
45.7791,300,GrTPO
47.3579,300,GrTPO
46.3861,300,GrTPO
44.4555,300,GrTPO
44.7245,300,GrTPO
45.1277,300,GrTPO
47.9764,300,GrTPO
45.6704,300,GrTPO
46.5413,300,GrTPO
48.384,300,GrTPO
47.0331,300,GrTPO
47.9149,300,GrTPO
47.6618,300,GrTPO
47.588,300,GrTPO
47.7216,300,GrTPO
43.9744,300,GrTPO
,,
37.4166,200,GrTPO
37.1525,200,GrTPO
39.6628,200,GrTPO
36.6325,200,GrTPO
38.8138,200,GrTPO
37.7353,200,GrTPO
36.9938,200,GrTPO
38.6845,200,GrTPO
38.1814,200,GrTPO
40.1286,200,GrTPO
39.0576,200,GrTPO
39.8108,200,GrTPO
37.9503,200,GrTPO
38.7484,200,GrTPO
38.0096,200,GrTPO
37.43,200,GrTPO
37.7733,200,GrTPO
38.5497,200,GrTPO
35.8771,200,GrTPO
38.2368,200,GrTPO
,,
32.184,200,SAC
34.7342,200,SAC
37.5368,200,SAC
34.2803,200,SAC
34.5771,200,SAC
33.4475,200,SAC
36.246,200,SAC
34.5475,200,SAC
35.8398,200,SAC
33.6901,200,SAC
35.2315,200,SAC
36.0543,200,SAC
37.0771,200,SAC
34.6977,200,SAC
34.8894,200,SAC
35.3641,200,SAC
35.9269,200,SAC
34.8385,200,SAC
34.5534,200,SAC
36.2887,200,SAC
,,
41.0165,300,SAC
43.2918,300,SAC
42.4958,300,SAC
41.6298,300,SAC
44.3309,300,SAC
41.2544,300,SAC
43.3547,300,SAC
45.9387,300,SAC
44.7872,300,SAC
42.7847,300,SAC
42.1688,300,SAC
41.4224,300,SAC
42.8081,300,SAC
42.2295,300,SAC
42.5668,300,SAC
44.8513,300,SAC
42.699,300,SAC
43.4196,300,SAC
42.948,300,SAC
41.984,300,SAC
,,
48.7587,400,SAC
53.3922,400,SAC
51.5097,400,SAC
49.0133,400,SAC
48.493,400,SAC
51.669,400,SAC
51.5207,400,SAC
52.0501,400,SAC
50.119,400,SAC
48.7928,400,SAC
50.6712,400,SAC
48.4835,400,SAC
50.1148,400,SAC
52.9323,400,SAC
52.4707,400,SAC
52.4181,400,SAC
50.4181,400,SAC
48.8503,400,SAC
50.8216,400,SAC
51.9056,400,SAC
,,
55.5404,500,SAC
60.8521,500,SAC
59.6083,500,SAC
57.8781,500,SAC
63.6328,500,SAC
61.1852,500,SAC
59.6632,500,SAC
55.7407,500,SAC
57.6654,500,SAC
60.4127,500,SAC
60.4696,500,SAC
59.832,500,SAC
60.1589,500,SAC
59.646,500,SAC
61.7117,500,SAC
56.9072,500,SAC
59.6462,500,SAC
58.6351,500,SAC
61.0634,500,SAC
60.4068,500,SAC
,,
32.7627,200,PPO
29.0763,200,PPO
30.004,200,PPO
32.4428,200,PPO
31.6541,200,PPO
30.3209,200,PPO
31.4988,200,PPO
31.8731,200,PPO
30.5732,200,PPO
30.5657,200,PPO
32.7678,200,PPO
30.789,200,PPO
31.977,200,PPO
31.4758,200,PPO
29.4153,200,PPO
30.2834,200,PPO
29.0323,200,PPO
31.6696,200,PPO
30.2174,200,PPO
30.9899,200,PPO
,,
37.1842,300,PPO
35.8438,300,PPO
36.2182,300,PPO
34.0552,300,PPO
37.1569,300,PPO
36.8284,300,PPO
34.8121,300,PPO
34.8734,300,PPO
34.2522,300,PPO
37.7939,300,PPO
33.8195,300,PPO
34.6498,300,PPO
34.6169,300,PPO
37.5684,300,PPO
35.201,300,PPO
35.2546,300,PPO
33.9201,300,PPO
34.3732,300,PPO
34.3771,300,PPO
35.6285,300,PPO
,,
41.0209,400,PPO
39.0039,400,PPO
40.9206,400,PPO
39.5234,400,PPO
41.216,400,PPO
41.5847,400,PPO
40.595,400,PPO
40.4297,400,PPO
42.1648,400,PPO
38.5328,400,PPO
38.1686,400,PPO
40.2522,400,PPO
37.0604,400,PPO
40.1266,400,PPO
41.6417,400,PPO
38.1813,400,PPO
41.4614,400,PPO
41.7164,400,PPO
40.4686,400,PPO
40.0285,400,PPO
,,
47.2528,500,PPO
43.7322,500,PPO
48.1727,500,PPO
45.7619,500,PPO
45.3992,500,PPO
45.4076,500,PPO
47.7079,500,PPO
47.3965,500,PPO
46.3783,500,PPO
48.1297,500,PPO
47.3889,500,PPO
46.5593,500,PPO
45.2291,500,PPO
44.1912,500,PPO
44.3015,500,PPO
43.7616,500,PPO
45.9799,500,PPO
44.7253,500,PPO
45.2348,500,PPO
46.037,500,PPO
,,
24.925,200,DuelingDQN
24.7228,200,DuelingDQN
25.6438,200,DuelingDQN
24.9157,200,DuelingDQN
24.6131,200,DuelingDQN
24.7256,200,DuelingDQN
25.0828,200,DuelingDQN
25.3244,200,DuelingDQN
24.7791,200,DuelingDQN
25.1891,200,DuelingDQN
24.4665,200,DuelingDQN
23.4204,200,DuelingDQN
25.0868,200,DuelingDQN
23.9929,200,DuelingDQN
24.4592,200,DuelingDQN
24.7434,200,DuelingDQN
25.3894,200,DuelingDQN
25.4259,200,DuelingDQN
23.8988,200,DuelingDQN
24.6557,200,DuelingDQN
,,
27.327,300,DuelingDQN
26.5134,300,DuelingDQN
26.9947,300,DuelingDQN
26.5158,300,DuelingDQN
28.442,300,DuelingDQN
27.0018,300,DuelingDQN
26.9404,300,DuelingDQN
26.602,300,DuelingDQN
26.0005,300,DuelingDQN
27.3504,300,DuelingDQN
27.3394,300,DuelingDQN
27.4247,300,DuelingDQN
26.3234,300,DuelingDQN
26.5806,300,DuelingDQN
27.3852,300,DuelingDQN
27.4228,300,DuelingDQN
27.4454,300,DuelingDQN
27.6638,300,DuelingDQN
26.6777,300,DuelingDQN
28.031,300,DuelingDQN
,,
29.8032,400,DuelingDQN
29.0387,400,DuelingDQN
29.651,400,DuelingDQN
30.1034,400,DuelingDQN
29.6454,400,DuelingDQN
29.3155,400,DuelingDQN
29.184,400,DuelingDQN
29.1911,400,DuelingDQN
29.8931,400,DuelingDQN
29.5828,400,DuelingDQN
